long_model,airline,photo_date,uploaded_date,location,uploader,photo_link,download_path,model,variant,purpose
Airbus A320-212,Condor,Photo date: 2020-08-02,Uploaded: 2021-06-16,"Location: Las Palmas/Gran Canaria - GCLP, Spain",By: Carlos GCLP,cdn.jetphotos.com/400/6/34467_1622661605.jpg,./img/A320/cdn.jetphotos.com-400-6-34467_1622661605.jpg,A320,212,train
Airbus A320-214,Uzbekistan Airways,Photo date: 2021-05-10,Uploaded: 2021-06-16,"Location: Minsk  - UMMS, Belarus",By: Aleksandr Aleksandrovich,cdn.jetphotos.com/400/6/70881_1622659890.jpg,./img/A320/cdn.jetphotos.com-400-6-70881_1622659890.jpg,A320,214,test
Airbus A320-214,LATAM Airlines,Photo date: 2021-06-02,Uploaded: 2021-06-16,"Location: São José do Rio Preto Prof. Eribelto M. Reino - SBSR, Brazil",By: Paulo H Goncalez,cdn.jetphotos.com/400/6/13959_1622659712.jpg,./img/A320/cdn.jetphotos.com-400-6-13959_1622659712.jpg,A320,214,train
Airbus A320-214,easyJet Europe,Photo date: 2021-05-22,Uploaded: 2021-06-16,"Location: Tenerife Sur-Reina Sofía - GCTS, Spain",By: Pablo Marín,cdn.jetphotos.com/400/5/63632_1622659505.jpg,./img/A320/cdn.jetphotos.com-400-5-63632_1622659505.jpg,A320,214,validation
Airbus A320-232,Cathay Dragon,Photo date: 2021-05-28,Uploaded: 2021-06-16,"Location: Hong Kong-Chek Lap Kok Int'l Airport - VHHH, China (Hong Kong)",By: Jack Sin - HKPSA,cdn.jetphotos.com/400/6/79720_1622659434.jpg,./img/A320/cdn.jetphotos.com-400-6-79720_1622659434.jpg,A320,232,validation
Airbus A320-251N,IndiGo Airlines,Photo date: 2021-06-15,Uploaded: 2021-06-16,"Location: Mumbai Chhatrapati Shivaji Int'l - VABB, India",By: Akshay M,cdn.jetphotos.com/400/6/67846_1623827782.jpg,./img/A320/cdn.jetphotos.com-400-6-67846_1623827782.jpg,A320,251N,train
Airbus A320-271N,Lufthansa,Photo date: 2021-05-23,Uploaded: 2021-06-16,"Location: Frankfurt Rhein-Main Int'l Airport - EDDF, Germany",By: Michael Knüfer,cdn.jetphotos.com/400/6/70787_1622658651.jpg,./img/A320/cdn.jetphotos.com-400-6-70787_1622658651.jpg,A320,271N,train
Airbus A320-232,jetBlue Airways,Photo date: 2021-06-01,Uploaded: 2021-06-16,"Location: Medellín Rionegro José María Córdova - SKRG, Colombia",By: Jorge Saenz,cdn.jetphotos.com/400/6/42876_1622658591.jpg,./img/A320/cdn.jetphotos.com-400-6-42876_1622658591.jpg,A320,232,validation
Airbus A320-214,Alaska Airlines,Photo date: 2021-06-15,Uploaded: 2021-06-16,"Location: San Francisco Int'l Airport - KSFO, USA - California",By: Chris Phan,cdn.jetphotos.com/400/5/20509_1623809615.jpg,./img/A320/cdn.jetphotos.com-400-5-20509_1623809615.jpg,A320,214,train
Airbus A320-251N,Airbus Industrie,Photo date: 2021-06-15,Uploaded: 2021-06-15,"Location: Toulouse Blagnac - LFBO, France",By: DN280,cdn.jetphotos.com/400/6/35477_1623787127.jpg,./img/A320/cdn.jetphotos.com-400-6-35477_1623787127.jpg,A320,251N,train
